GeneSymbol	A21_05_C2_P5_547431	A21_05_C2_P5_337729	A21_05_C2_P5_498700	A21_05_C2_P5_155179	A21_05_C2_P5_253661	A21_05_C2_P5_272388	A21_05_C2_P5_720968	A21_05_C2_P5_704908	A21_05_C2_P5_848048	A21_05_C2_P5_90718	A21_05_C2_P5_348548	A21_05_C2_P5_327815	A21_05_C2_P5_424332	A21_05_C2_P5_791691	A21_05_C2_P5_145849	A21_05_C2_P5_225293	A21_05_C2_P5_406074	A21_05_C2_P5_207512	A21_05_C2_P5_687585	A21_05_C2_P5_242886	A21_05_C2_P5_709878	A21_05_C2_P5_649221	A21_05_C2_P5_135495	A21_05_C2_P5_59774	A21_05_C2_P5_84401	A21_05_C2_P5_380396	A21_05_C2_P5_133740	A21_05_C2_P5_641140	A21_05_C2_P5_692756	A21_05_C2_P5_607908	A21_05_C2_P5_60139	A21_05_C2_P5_481331	A21_05_C2_P5_119369	A21_05_C2_P5_326724	A21_05_C2_P5_715751	A21_05_C2_P5_407386	A21_05_C2_P5_158243	A21_05_C2_P5_528187	A21_05_C2_P5_177426	A21_05_C2_P5_356739	A21_05_C2_P5_227915	A21_05_C2_P5_670721	A21_05_C2_P5_336096	A21_05_C2_P5_198191	A21_05_C2_P5_380412	A21_05_C2_P5_554898	A21_05_C2_P5_398110	A21_05_C2_P5_168775	A21_05_C2_P5_873045	A21_05_C2_P5_228860	A21_05_C2_P5_695337	A21_05_C2_P5_454130	A21_05_C2_P5_699545	A21_05_C2_P5_278127	A21_05_C2_P5_94568	A21_05_C2_P5_589954	A21_05_C2_P5_88102	A21_05_C2_P5_105720	A21_05_C2_P5_305904	A21_05_C2_P5_716187	A21_05_C2_P5_411151	A21_05_C2_P5_241513	A21_05_C2_P5_146322	A21_05_C2_P5_76224	A21_05_C2_P5_425470	A21_05_C2_P5_629564	A21_05_C2_P5_96264	A21_05_C2_P5_451337	A21_05_C2_P5_706412	A21_05_C2_P5_278735	A21_05_C2_P5_264093	A21_05_C2_P5_676162	A21_05_C2_P5_626788	A21_05_C2_P5_796873	A21_05_C2_P5_747335	A21_05_C2_P5_318512	A21_05_C2_P5_507421	A21_05_C2_P5_164980	A21_05_C2_P5_535888	A21_05_C2_P5_642834	A21_05_C2_P5_868352	A21_05_C2_P5_111697	A21_05_C2_P5_377677	A21_05_C2_P5_167734	A21_05_C2_P5_416816	A21_05_C2_P5_762794	A21_05_C2_P5_642404	A21_05_C2_P5_470132	A21_05_C2_P5_117531	A21_05_C2_P5_118735	A21_05_C2_P5_787868	A21_05_C2_P5_410651	A21_05_C2_P5_420608	A21_05_C2_P5_789103	A21_05_C2_P5_29457	A21_05_C2_P5_522007	A21_05_C2_P5_640301
TIMP3	2.239	2.221	2.207	1.143	1.592	2.684	1.828	1.001	1.801	1.709	2.502	2.475	2.020	1.036	2.137	1.692	1.807	1.080	0.000	3.048	1.717	1.106	1.296	1.300	1.482	0.860	0.513	1.954	0.529	1.504	1.992	1.774	0.871	0.000	1.353	2.372	1.354	2.117	1.160	2.357	1.373	1.388	2.045	1.839	1.190	2.158	0.921	2.096	0.968	1.886	1.224	0.000	2.370	0.000	0.966	1.244	1.617	1.456	2.123	0.995	0.000	1.274	2.273	1.817	1.677	0.000	1.837	1.516	1.287	1.533	1.028	1.044	1.762	2.346	2.443	1.080	1.390	0.698	1.391	2.431	1.398	0.700	1.641	1.415	1.438	2.676	2.932	1.764	0.819	1.218	0.787	2.911	0.000	1.902	1.690	1.954	2.165
TINAGL1	0.609	0.394	1.855	0.957	0.000	1.573	0.000	0.453	0.988	0.992	1.019	1.719	0.000	1.036	1.414	0.490	1.573	0.831	0.827	1.444	0.502	0.000	1.096	1.300	0.519	0.519	1.102	0.515	0.000	1.504	0.878	0.875	1.881	1.508	1.148	0.000	1.149	1.811	0.548	0.000	0.000	0.560	0.914	1.564	0.000	1.193	1.392	0.583	0.000	0.000	0.588	0.000	1.231	0.594	0.595	0.000	0.961	0.600	1.627	0.617	1.491	0.000	0.000	0.000	0.626	1.289	1.686	1.022	0.000	1.314	0.000	0.000	0.000	0.000	0.000	0.000	0.696	0.000	1.103	1.123	0.701	0.700	1.641	1.124	0.728	1.180	0.747	0.000	0.819	0.784	0.787	0.000	1.346	1.348	1.373	0.000	0.000
TIPARP	0.984	0.676	0.962	0.957	0.000	1.680	1.200	0.453	1.338	1.342	1.019	1.489	0.000	0.474	1.054	0.490	1.266	0.500	0.000	0.000	0.502	0.515	0.845	0.000	0.000	1.483	0.000	1.105	0.529	0.000	0.000	0.000	0.000	0.533	0.541	0.558	0.000	1.161	0.548	0.000	0.905	0.000	1.176	1.392	0.567	1.402	0.563	0.950	0.000	0.000	0.000	0.000	1.231	1.234	0.000	0.000	0.000	0.000	0.597	0.617	0.000	0.620	0.000	0.000	1.283	1.013	0.631	0.000	0.628	0.646	1.028	0.000	0.000	0.000	1.068	1.080	0.696	0.000	1.391	0.000	1.109	0.700	1.125	0.000	0.000	0.000	0.000	0.000	0.819	0.784	0.787	0.000	0.000	0.000	0.000	2.149	0.000
TK1	0.609	0.676	0.962	1.143	0.751	0.000	0.770	0.453	0.753	0.448	0.779	0.763	1.023	0.794	0.809	0.490	0.000	0.000	0.827	1.079	1.085	0.854	0.509	1.099	0.859	0.860	1.102	0.515	0.000	0.875	0.532	1.503	0.871	0.533	0.000	1.177	0.000	0.548	0.548	1.165	0.000	0.917	1.176	0.921	0.567	0.000	0.563	1.602	0.000	0.587	1.435	0.592	1.443	1.770	0.966	0.973	0.000	1.631	0.597	0.995	1.001	0.999	0.000	1.000	0.000	0.000	0.000	1.022	0.000	0.000	1.307	1.325	0.676	1.061	0.671	0.000	1.102	0.698	1.103	1.638	0.701	0.700	0.713	1.124	0.000	0.755	0.000	1.229	1.263	0.000	0.787	0.000	0.000	0.000	0.906	0.922	0.933
TLCD2	0.000	0.000	0.000	0.000	0.444	0.000	0.458	0.000	0.000	0.448	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.513	0.515	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.568	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.696	0.000	0.000	0.000	0.000	0.000	0.713	0.000	0.000	0.755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TLCD4	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.529	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.601	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.000	0.000	0.000	0.000
TLCD4-RWDD3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TLL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TM4SF1	0.814	0.000	1.443	0.727	0.000	0.000	0.770	1.819	0.446	1.709	0.464	0.763	0.000	1.865	1.250	0.490	0.821	1.922	0.497	0.499	0.835	0.515	1.606	0.511	0.000	1.113	0.513	0.853	0.000	0.000	0.000	2.078	0.527	0.000	1.669	0.000	1.354	2.279	0.900	1.542	0.905	0.000	2.562	0.000	0.567	0.568	1.392	0.583	0.000	1.609	0.000	2.205	1.618	0.964	0.000	0.601	0.000	0.600	3.102	1.661	2.065	0.999	0.000	1.275	0.626	0.000	0.000	0.000	1.287	0.000	1.855	0.653	0.000	1.344	1.352	0.000	0.696	1.617	0.000	1.638	1.109	0.000	1.980	0.712	1.665	0.755	2.494	1.952	0.000	0.000	0.000	1.301	0.000	0.886	1.690	1.394	0.933
TMEM158	0.000	0.000	0.000	0.000	0.000	0.435	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.513	0.000	0.000	0.000	0.000	0.000	0.000	0.533	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.000	0.563	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.595	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.653	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.000	0.000	0.000	0.000
TMEM171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.497	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.530	0.000	0.875	0.000	0.000	0.541	0.000	0.000	0.901	0.000	0.551	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.713	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TMEM176A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TMEM176B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TMEM233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TMEM26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TMEM35A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TMEM45A	0.609	0.394	0.000	0.000	0.751	0.000	0.000	0.453	0.000	0.000	1.374	0.000	0.466	0.794	0.000	0.000	0.000	1.080	0.000	0.000	0.502	0.000	0.000	0.848	0.519	0.000	0.513	0.515	0.529	0.000	0.878	0.000	0.527	0.000	0.000	0.000	0.891	0.548	0.000	0.551	0.552	0.560	0.000	0.563	0.567	0.568	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.594	0.000	0.000	0.000	0.000	0.000	0.995	0.000	0.000	0.000	0.620	0.000	0.629	0.631	0.000	0.000	0.000	0.000	0.000	0.676	0.000	0.000	0.000	0.000	0.698	0.696	0.711	0.000	0.700	0.000	0.000	1.438	0.000	0.000	0.000	0.000	0.784	0.787	0.849	0.000	0.886	0.000	0.000	0.000
TMEM47	0.350	0.000	0.000	0.727	0.444	0.000	0.458	1.001	0.000	1.182	0.000	0.763	0.783	0.794	1.789	1.262	0.493	0.500	1.075	1.278	0.502	0.515	0.845	0.511	0.519	0.000	0.000	0.000	0.000	0.875	1.134	1.334	0.527	0.533	0.000	0.000	0.542	0.000	1.366	1.165	0.000	0.917	0.558	0.000	0.000	0.568	0.921	0.000	0.000	1.609	1.224	0.000	0.000	0.000	1.235	0.000	0.000	0.600	0.597	1.661	0.000	0.620	0.000	0.620	0.000	0.629	0.000	0.636	0.628	0.000	0.641	0.653	1.075	0.000	0.000	0.000	0.000	0.000	1.103	1.414	1.109	0.700	0.713	0.000	0.000	0.755	0.000	0.000	0.000	0.000	0.000	0.000	0.885	0.000	0.000	0.000	0.000
TMEM92	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TMEM97	0.350	0.000	0.962	0.428	0.000	0.435	0.458	0.453	0.753	0.448	1.212	1.191	0.783	0.000	0.484	0.818	0.493	0.831	0.497	0.499	0.835	0.515	0.845	0.511	0.519	0.519	0.513	0.000	0.529	0.000	0.532	1.131	0.000	0.533	0.541	0.558	1.149	1.367	0.900	0.000	0.000	0.560	1.384	0.921	0.000	0.929	0.563	0.583	1.238	0.587	0.588	0.592	0.000	0.594	0.966	0.973	0.592	0.600	0.969	0.000	0.621	0.999	0.626	0.620	0.000	0.000	0.000	0.000	0.628	1.035	0.000	0.653	0.000	1.344	0.000	0.000	0.000	0.000	1.103	0.000	0.000	0.000	0.000	0.000	0.728	0.000	1.170	0.000	0.819	0.000	0.787	0.000	0.885	0.000	0.000	0.000	0.000
TMPO	0.814	1.677	1.149	1.301	1.174	0.435	0.770	1.721	0.446	1.342	1.744	1.351	0.466	1.534	1.555	1.262	0.821	1.080	0.827	0.831	1.450	0.854	1.296	1.099	1.626	1.627	1.471	1.105	0.873	1.886	1.338	1.503	1.329	1.992	1.523	1.702	1.354	1.537	1.366	1.688	1.373	2.142	1.702	1.711	1.398	1.402	1.711	0.583	0.968	1.223	0.956	1.765	0.962	1.621	0.595	0.000	1.230	1.910	1.451	1.269	1.668	0.000	0.000	1.667	1.283	1.505	1.837	1.846	1.504	1.533	0.000	1.044	0.000	1.745	1.068	0.679	0.000	1.617	1.391	0.711	1.109	1.621	1.641	1.640	0.728	0.000	1.880	1.764	1.263	0.784	1.222	1.848	0.885	0.886	1.931	0.922	1.407
TMPO-AS1	0.000	0.000	0.431	0.000	0.000	0.000	0.000	0.453	0.753	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.497	0.000	0.000	0.000	0.000	0.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.530	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.567	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.592	0.000	0.000	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.646	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.346	0.000	0.000	0.000	0.000
TMSB4X	4.384	3.918	3.457	3.576	3.678	3.823	3.975	3.995	3.738	3.486	3.786	3.349	3.779	3.699	4.087	3.956	4.054	3.718	3.612	3.836	3.709	4.078	3.941	4.090	4.205	4.143	3.652	4.017	3.707	4.450	4.022	4.078	4.173	3.845	3.802	3.667	3.819	3.663	4.211	3.724	4.030	3.939	4.179	3.900	3.647	4.067	3.944	3.704	3.587	4.042	4.223	4.575	4.067	3.581	3.908	3.247	3.798	4.391	3.715	3.971	4.306	3.993	4.194	4.055	3.502	4.239	3.459	4.147	4.087	4.195	3.865	3.633	3.679	3.773	3.867	4.066	3.957	4.286	4.254	4.179	4.004	4.421	3.888	4.097	4.372	4.449	3.320	4.264	4.062	3.932	4.584	4.363	3.899	4.426	3.934	4.192	4.163
TMTC2	0.000	0.000	0.431	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.499	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TNC	0.000	0.394	0.000	0.000	0.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.000	0.000	1.427	0.821	1.279	0.000	0.000	0.502	0.000	1.731	0.000	0.000	0.519	0.513	0.000	0.000	0.530	0.000	0.000	0.000	0.533	0.000	0.000	0.000	0.000	0.000	0.551	1.166	0.000	0.000	0.563	0.000	0.568	0.000	0.583	0.968	0.000	0.588	0.000	0.000	0.000	0.966	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.626	1.275	0.000	0.000	0.631	1.299	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.800	0.000	0.000	0.701	0.000	0.000	0.000	0.000	0.755	0.000	0.000	1.569	0.000	1.222	0.000	0.885	0.000	0.906	0.000	0.000
TNFAIP2	0.350	0.000	0.000	0.000	0.444	0.435	0.458	1.001	0.000	0.448	0.464	0.763	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.515	0.000	0.511	0.000	0.000	0.513	0.000	0.000	0.000	0.878	0.000	0.000	0.000	0.000	0.000	0.000	0.548	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.621	0.620	0.000	0.620	0.000	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.676	1.061	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.713	0.000	0.728	0.000	0.000	0.000	0.000	0.000	0.787	0.849	0.000	0.000	0.000	0.000	0.000
TNFAIP3	0.609	0.000	0.431	0.000	0.000	0.435	0.000	0.000	0.446	0.448	0.000	0.000	1.023	0.474	0.000	0.000	0.000	0.500	0.000	0.499	0.835	0.000	0.509	0.000	0.000	0.519	0.000	0.515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.548	0.000	0.000	0.000	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0.000	0.000	0.588	0.000	0.000	1.234	0.000	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.626	0.000	0.626	0.000	0.000	0.000	0.000	0.646	1.028	0.000	0.676	0.665	1.352	1.080	0.000	0.000	0.000	0.000	0.701	0.000	0.000	0.000	0.000	0.000	0.000	0.792	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.933
TNFAIP6	0.350	0.394	0.000	0.000	0.751	0.970	0.458	0.000	0.000	0.000	0.000	0.000	0.000	0.474	0.000	0.490	0.000	0.500	0.000	0.000	1.085	0.000	0.000	0.000	0.859	0.000	0.000	0.000	0.529	0.530	0.532	0.530	0.000	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.592	1.443	0.000	0.000	0.000	0.592	0.000	0.000	0.000	0.000	0.000	0.626	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.075	0.000	1.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.792	0.000	0.000	0.000	0.849	0.000	0.000	0.000	0.000	0.000
TNFAIP8L1	0.000	0.000	0.431	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.484	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.000	0.000	0.519	0.000	0.515	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.626	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.712	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TNFAIP8L3	0.350	0.394	0.000	0.000	0.444	0.435	0.000	0.453	0.000	0.756	0.000	0.453	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.530	0.000	0.000	0.000	0.000	0.000	0.548	0.548	0.000	0.905	0.000	0.000	0.000	0.567	0.000	0.000	0.000	0.000	0.000	0.000	0.592	0.000	0.594	0.966	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
TNFRSF10D	0.000	0.394	0.000	0.000	0.000	0.000	0.458	0.000	0.000	0.448	0.000	0.000	0.000	0.474	0.000	0.000	0.000	0.831	0.000	0.499	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.915	0.000	0.548	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.601	0.000	0.600	0.597	0.617	0.621	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.653	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.711	0.701	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
