GeneSymbol	A21_05_C3_P5_438326	A21_05_C3_P5_80000	A21_05_C3_P5_675243	A21_05_C3_P5_39323	A21_05_C3_P5_540516	A21_05_C3_P5_675883	A21_05_C3_P5_795538	A21_05_C3_P5_192610	A21_05_C3_P5_201880	A21_05_C3_P5_426236	A21_05_C3_P5_119081	A21_05_C3_P5_243946	A21_05_C3_P5_677988	A21_05_C3_P5_722696	A21_05_C3_P5_385496	A21_05_C3_P5_555709	A21_05_C3_P5_160648	A21_05_C3_P5_114001	A21_05_C3_P5_631908	A21_05_C3_P5_341331	A21_05_C3_P5_810696	A21_05_C3_P5_451659	A21_05_C3_P5_167316	A21_05_C3_P5_730545	A21_05_C3_P5_4191	A21_05_C3_P5_306948	A21_05_C3_P5_799333	A21_05_C3_P5_51050
DBF4	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.345	0.342	0.000	0.618	0.637	0.000	0.000	0.390	0.000	0.000	0.000	0.427	0.000	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.000
DCBLD2	0.864	1.262	1.317	0.970	1.685	1.375	1.317	1.459	0.342	1.146	0.825	1.171	0.379	1.057	0.888	1.388	1.339	0.942	0.725	0.974	1.593	1.317	1.003	1.008	0.759	1.015	0.789	1.081
DCLK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.379	0.000	0.000	0.000	0.446	0.420	0.000	0.000	0.000	0.000	0.766	0.000	0.759	0.000	0.000	0.000
DCN	2.764	2.435	1.998	2.320	2.387	2.395	2.542	1.358	2.670	2.801	1.741	2.293	2.125	2.831	1.571	2.445	2.506	2.235	2.831	1.952	2.814	2.023	2.696	1.916	1.981	2.340	2.304	2.488
DDAH1	0.649	1.339	0.795	0.970	1.457	1.692	0.577	0.805	1.237	1.146	1.384	0.848	1.326	1.339	0.888	1.506	0.446	1.418	0.427	0.438	0.444	1.454	0.455	1.008	0.759	1.015	1.225	0.832
DDIAS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DDIT3	0.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DDIT4	0.206	0.000	0.265	0.000	0.312	0.000	0.577	0.000	0.000	0.357	0.825	0.637	0.000	0.385	0.888	0.000	0.000	0.000	0.000	0.000	0.444	0.000	0.000	1.008	0.000	0.000	1.030	0.000
DDIT4L	0.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DDX10	0.206	0.000	0.000	0.000	0.000	0.907	0.000	0.345	0.000	0.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.444	0.000	0.000	0.000	0.000	0.000	0.470	0.000
DDX21	0.377	0.612	0.923	0.685	0.549	1.046	0.329	0.345	0.342	0.828	0.000	0.637	0.868	0.879	0.390	0.000	0.754	1.283	0.725	0.000	0.000	0.436	0.455	1.008	0.000	0.461	0.000	0.000
DDX58	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.342	0.357	0.356	0.000	0.379	0.000	0.390	0.000	0.446	0.000	0.725	0.000	0.000	0.000	0.000	0.457	0.000	0.461	0.000	0.000
DEK	0.522	0.612	0.265	0.685	1.162	1.168	1.317	0.602	1.111	1.489	0.997	1.696	0.653	0.879	0.888	0.406	0.446	1.283	0.000	0.438	0.985	1.317	0.455	1.008	1.899	1.369	0.789	0.000
DEPDC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DEPDC1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DEPTOR	0.377	0.447	0.265	0.504	0.549	0.314	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.390	0.000	1.179	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DGKH	0.000	0.000	0.000	0.000	0.312	0.314	0.000	0.345	0.000	0.000	0.000	0.368	0.000	0.000	0.390	0.000	0.446	0.420	0.427	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000
DHCR24	0.000	0.248	0.000	0.283	0.312	0.314	0.775	0.602	0.000	1.000	0.356	1.023	0.000	0.662	0.000	0.694	0.754	0.942	0.000	0.438	0.000	0.971	1.003	0.770	0.000	1.015	0.789	0.000
DHFR	0.206	0.000	0.265	0.283	0.000	0.000	0.329	0.000	1.111	0.000	0.000	0.637	0.000	0.385	0.000	0.406	0.000	0.000	0.000	0.000	0.751	0.436	0.455	0.000	1.605	0.000	0.000	0.000
