GeneSymbol	A21_05_C2_P5_545951	A21_05_C2_P5_384994	A21_05_C2_P5_221712	A21_05_C2_P5_601556	A21_05_C2_P5_49590	A21_05_C2_P5_118756	A21_05_C2_P5_203250	A21_05_C2_P5_654053	A21_05_C2_P5_883316	A21_05_C2_P5_70210	A21_05_C2_P5_549054	A21_05_C2_P5_426546	A21_05_C2_P5_594341	A21_05_C2_P5_463199	A21_05_C2_P5_848473	A21_05_C2_P5_709356	A21_05_C2_P5_871294	A21_05_C2_P5_568837	A21_05_C2_P5_326028	A21_05_C2_P5_74255	A21_05_C2_P5_458390	A21_05_C2_P5_638128	A21_05_C2_P5_12534	A21_05_C2_P5_602273	A21_05_C2_P5_474110	A21_05_C2_P5_365897	A21_05_C2_P5_876552	A21_05_C2_P5_709733	A21_05_C2_P5_436945	A21_05_C2_P5_1191	A21_05_C2_P5_473595	A21_05_C2_P5_618353	A21_05_C2_P5_631078	A21_05_C2_P5_762777	A21_05_C2_P5_711218	A21_05_C2_P5_94948	A21_05_C2_P5_441382	A21_05_C2_P5_145873	A21_05_C2_P5_319708	A21_05_C2_P5_560698	A21_05_C2_P5_716471	A21_05_C2_P5_884718
WBP11	1.423	1.204	0.997	0.833	0.871	0.525	0.878	0.000	0.897	0.542	1.525	0.558	1.386	1.189	1.199	0.928	0.569	1.427	0.963	0.613	0.615	0.995	0.642	0.659	0.663	0.664	1.073	0.675	0.000	1.120	0.000	0.727	1.161	0.827	1.289	0.000	1.304	0.000	1.331	0.000	1.456	1.943
WDHD1	0.642	0.000	0.000	0.501	0.000	0.000	0.000	0.539	0.000	0.000	0.000	0.000	0.000	0.566	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
WDR43	1.178	0.773	0.761	0.833	0.871	0.868	1.134	1.145	1.156	1.149	1.150	0.000	0.560	0.566	1.199	0.928	0.000	0.949	0.593	0.613	0.000	0.617	0.642	1.053	0.663	0.000	0.674	1.359	0.685	0.710	1.668	0.727	0.000	0.000	0.000	1.278	0.851	1.316	0.000	0.000	1.456	0.000
WDR63	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
WDR76	0.000	0.000	0.000	0.000	0.000	0.525	1.338	0.539	0.000	0.000	0.000	0.000	0.560	0.000	0.572	0.000	0.000	0.583	0.000	1.263	0.000	0.000	0.642	0.000	0.000	0.664	0.000	0.675	0.000	1.411	0.000	0.000	0.000	0.000	0.000	1.586	0.000	0.860	0.872	0.000	0.000	1.096
WEE1	0.854	0.000	0.761	1.082	0.527	0.525	0.878	0.000	0.000	0.542	0.542	0.558	0.560	0.566	0.572	0.000	0.569	0.000	0.000	0.613	0.000	0.000	0.642	0.000	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
WFDC21P	0.000	0.000	0.000	0.000	1.126	0.000	0.000	0.539	0.546	0.000	0.542	0.000	0.560	0.926	0.000	0.000	0.569	0.000	0.000	0.000	1.482	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.710	0.000	0.727	0.741	0.000	1.598	0.000	1.304	0.000	0.000	0.000	0.972	1.096
WIF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
WNK3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
WNT2	0.371	0.000	0.000	0.833	0.527	0.000	0.532	1.145	0.000	0.000	0.000	0.558	0.000	0.000	1.581	0.000	0.000	0.583	1.768	0.000	0.000	0.000	0.000	0.000	0.000	0.664	0.000	0.000	0.000	0.000	0.000	0.000	1.457	0.000	0.839	0.000	0.000	0.000	1.331	0.000	0.000	0.000
WNT2B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.000	0.674	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
WNT5A	0.371	1.011	0.000	0.000	0.871	1.325	0.000	0.539	0.546	0.542	0.000	0.558	0.560	1.398	0.000	1.401	0.569	0.000	0.593	1.263	0.000	0.617	0.000	0.659	1.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.839	0.831	0.000	0.000	0.000	0.000	0.000	0.000
WNT7B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
WWC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
XAF1	1.423	0.000	0.000	0.000	0.000	0.868	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.216	0.963	0.613	0.000	0.000	0.000	0.000	1.058	0.664	0.674	1.074	0.685	1.411	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	1.096
XRCC2	0.000	0.000	0.000	0.000	0.000	0.525	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.664	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
XYLT1	0.000	0.000	0.000	0.501	0.000	0.525	0.000	0.539	0.546	0.000	0.000	0.000	0.560	0.000	0.572	0.000	0.000	0.000	0.000	0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.827	0.000	0.000	0.000	0.860	0.000	0.000	0.000	1.096
YPEL3	0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.887	0.897	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.963	0.613	0.000	0.617	0.000	0.000	0.663	0.000	0.000	1.074	0.000	0.710	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
YWHAH	1.856	1.204	2.129	1.282	1.329	1.764	1.338	1.145	1.533	2.102	1.797	1.384	1.179	1.570	1.857	0.928	0.569	1.427	2.115	0.990	1.659	1.484	0.642	1.555	1.741	1.896	0.674	1.074	0.000	1.120	1.668	1.143	1.161	1.816	1.598	2.012	1.615	0.860	1.882	1.438	0.972	2.194
Z98884.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZFP36	0.000	0.459	0.000	0.501	1.498	1.122	1.134	0.539	0.546	0.542	0.891	0.558	1.179	0.000	0.000	0.928	0.569	0.000	0.000	0.613	0.000	0.000	0.000	1.053	0.663	0.664	0.000	0.675	0.685	0.710	0.000	0.000	0.741	0.827	0.000	0.000	0.000	0.860	0.000	0.000	0.000	0.000
ZFP36L1	1.704	1.626	1.348	0.501	1.329	0.525	0.000	1.665	0.000	1.354	1.150	1.943	0.916	0.926	0.934	2.065	0.930	2.094	1.233	1.934	0.994	1.269	1.309	1.335	1.894	1.743	2.046	1.074	2.066	0.710	1.668	1.436	2.026	0.827	0.839	1.822	1.304	1.316	0.872	0.958	0.000	2.705
ZFP36L2	0.854	0.000	0.000	0.501	1.329	0.000	0.532	1.145	0.000	1.670	0.542	0.558	0.000	0.000	0.572	0.000	0.000	1.427	0.000	0.613	0.000	0.995	1.309	0.659	0.663	1.060	1.073	0.675	0.685	0.000	0.000	0.727	0.741	0.000	0.000	0.831	0.851	0.000	0.872	0.000	0.000	0.000
ZFP42	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZGRF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.674	0.000	0.000	0.710	0.000	0.000	0.000	0.000	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZMAT3	0.000	0.459	0.997	0.000	0.871	0.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.566	0.572	0.000	0.930	0.000	1.619	0.613	1.267	0.995	0.000	0.659	0.000	1.060	0.674	0.000	0.685	0.000	0.000	1.143	0.000	0.000	0.839	0.831	0.000	0.000	0.000	0.000	0.972	1.096
ZNF208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF367	0.371	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.000	0.583	0.000	0.000	0.000	0.617	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.710	1.147	0.000	0.000	1.274	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF385D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF423	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF436	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF503	0.000	0.000	0.451	0.000	0.527	0.525	1.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.583	0.000	0.000	0.000	0.000	0.642	0.659	0.000	0.000	0.000	0.000	1.088	0.710	0.000	0.727	0.000	0.000	1.289	0.831	0.000	0.000	0.000	0.000	0.000	0.000
ZNF714	0.000	0.000	0.451	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF736P9Y	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF804A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF853	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZNF93	0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZSWIM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ZWILCH	1.178	0.773	0.451	0.833	0.871	0.000	0.000	0.000	0.000	1.149	0.891	1.176	0.916	0.000	0.000	1.193	1.403	0.949	0.963	0.613	1.267	1.484	0.642	1.335	1.561	0.000	0.674	1.074	0.000	0.000	0.730	0.000	0.000	1.274	0.839	0.000	0.851	0.000	1.331	0.958	0.972	1.096
ZWINT	0.854	0.773	0.997	1.448	0.527	1.325	0.878	0.887	1.156	0.891	1.797	1.176	0.560	0.926	1.199	0.000	1.194	0.583	0.593	1.263	0.615	0.000	1.030	0.000	0.663	1.342	0.674	1.359	0.685	0.000	0.000	0.000	0.741	0.827	0.839	0.831	1.304	1.865	0.872	0.000	1.456	0.000
A1BG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC006116.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC007285.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC007405.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC007666.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008397.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008883.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC010182.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC010834.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC012574.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC015819.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC015961.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC016596.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC019197.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC021321.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC024132.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC027796.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC079354.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC079416.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC079630.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC087752.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC091152.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC098679.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC099518.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC105114.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC112247.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC130650.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACKR2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACOT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AF241728.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL034417.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL049780.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL050343.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL078604.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL121992.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
